*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 15, 2018; 17:43:28
                                                                                
*RUN   1        : Sim                       MZCER046 UNME2015    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UNME2015 MZ                                                   
 DATA PATH      :                                                               
 TREATMENT  1   : Sim                       MZCER046                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2015 217   127    96  193.3   29.3  164.0   1.71   1.96  211.9   71.7   92.3    2.0   1.96   1.03    0.00    2.41
 2015 218   128    97  193.3   34.2  159.2   1.71   1.92  211.9   70.2   89.0    1.9   1.92   1.04    0.00    2.41
 2015 219   129    98  193.3   39.0  154.3   1.70   1.85  211.9   67.5   86.8    1.8   1.85   1.03    0.00    2.41
 2015 220   130    99  193.3   43.9  149.4   1.70   1.78  211.9   65.0   84.4    1.8   1.78   1.02    0.00    2.41
 2015 221   131   100  193.3   48.8  144.5   1.71   1.72  211.9   62.8   81.7    1.7   1.72   1.02    0.00    2.41
 2015 222   132   101  193.3   53.7  139.6   1.71   1.65  211.9   60.3   79.4    1.7   1.65   1.01    0.00    2.41
 2015 223   133   102  195.0   58.5  136.5   1.71   1.61  215.3   58.8   77.7    1.6   1.61   1.08    0.00    2.50
 2015 224   134   103  198.2   63.4  134.8   1.70   1.59  218.9   58.1   76.7    1.6   1.59   1.09    0.00    2.60
 2015 225   135   104  200.8   68.3  132.5   1.70   1.56  221.7   57.1   75.4    1.6   1.56   1.08    0.00    2.70
 2015 226   136   105  203.5   73.1  130.4   1.70   1.54  224.8   56.2   74.2    1.5   1.54   1.08    0.00    2.80
 2015 227   137   106  206.5   78.0  128.5   1.70   1.52  228.2   55.4   73.1    1.5   1.52   1.08    0.00    2.91
 2015 228   138   107  208.3   82.8  125.4   1.70   1.48  229.7   54.0   71.4    1.5   1.48   1.07    0.00    3.01
 2015 229   139   108  208.4   87.7  120.7   1.70   1.46  229.8   53.3   67.4    1.5   1.46   1.06    0.00    3.11
 2015 230   140   109  210.4   92.6  117.8   1.70   1.45  231.8   52.9   65.0    1.4   1.45   1.06    0.00    3.22
 2015 231   141   110  214.9   97.4  117.4   1.70   1.43  236.8   52.4   65.1    1.4   1.43   1.08    0.00    3.32
 2015 232   142   111  219.3  102.3  117.0   1.70   1.42  241.6   51.8   65.2    1.4   1.42   1.08    0.00    3.42
 2015 233   143   112  223.4  107.2  116.2   1.70   1.40  245.9   51.1   65.1    1.4   1.40   1.08    0.00    3.53
 2015 234   144   113  226.1  112.0  114.1   1.70   1.38  248.4   50.4   63.7    1.4   1.38   1.06    0.00    3.63
 2015 235   145   114  230.7  116.6  114.1   1.70   1.37  253.8   49.9   64.2    1.4   1.37   1.09    0.00    3.74
 2015 236   146   115  235.3  121.2  114.2   1.70   1.36  258.8   49.4   64.7    1.4   1.36   1.08    0.00    3.85
 2015 237   147   116  240.0  126.0  114.0   1.70   1.35  263.6   49.1   64.9    1.3   1.35   1.08    0.00    3.96
 2015 238   148   117  244.0  130.9  113.1   1.70   1.34  267.6   48.7   64.4    1.3   1.34   1.07    0.00    4.06
 2015 239   149   118  246.8  135.8  111.1   1.70   1.31  270.3   47.9   63.2    1.3   1.31   1.06    0.00    4.17
 2015 240   150   119  248.2  140.6  107.6   1.70   1.30  271.7   47.3   60.3    1.3   1.30   1.06    0.00    4.28
 2015 241   151   120  250.7  145.5  105.2   1.70   1.28  274.2   46.8   58.5    1.3   1.28   1.06    0.00    4.39
 2015 242   152   121  253.2  150.3  102.9   1.70   1.27  276.7   46.2   56.6    1.3   1.27   1.06    0.00    4.49
 2015 243   153   122  257.0  155.2  101.8   1.70   1.25  280.8   45.6   56.2    1.2   1.25   1.07    0.00    4.60
 2015 244   154   123  260.2  160.1  100.1   1.70   1.23  284.0   44.8   55.4    1.2   1.23   1.07    0.00    4.71
 2015 245   155   124  263.7  165.0   98.7   1.70   1.20  287.7   44.0   54.7    1.2   1.20   1.07    0.00    4.81
 2015 246   156   125  267.1  169.9   97.2   1.70   1.18  291.3   43.1   54.0    1.2   1.18   1.07    0.00    4.92
 2015 247   157   126  269.9  174.9   95.1   1.70   1.16  293.9   42.3   52.7    1.2   1.16   1.06    0.00    5.03
 2015 248   158   127  273.1  179.8   93.3   1.70   1.14  297.1   41.5   51.7    1.1   1.14   1.07    0.00    5.13
 2015 249   159   128  275.2  184.1   91.1   1.71   1.11  299.4   40.5   50.6    1.1   1.11   1.07    0.00    5.24
 2015 250   160   129  277.0  189.0   88.0   1.71   1.10  301.2   40.1   48.0    1.1   1.10   1.06    0.00    5.35
 2015 251   161   130  280.1  193.9   86.3   1.71   1.08  304.3   39.5   46.7    1.1   1.08   1.06    0.00    5.45
 2015 252   162   131  283.8  198.7   85.1   1.71   1.07  307.9   39.1   46.0    1.1   1.07   1.06    0.00    5.55
 2015 253   163   132  287.3  203.6   83.7   1.71   1.06  311.4   38.6   45.1    1.1   1.06   1.06    0.00    5.66
 2015 254   164   133  290.6  207.5   83.0   1.71   1.04  315.2   38.1   45.0    1.0   1.04   1.08    0.00    5.76
 2015 255   165   134  293.9  211.0   82.8   1.71   1.03  318.7   37.8   45.1    1.0   1.03   1.08    0.00    5.87
 2015 256   166   135  298.8  215.9   82.9   1.71   1.03  323.4   37.8   45.1    1.0   1.03   1.07    0.00    5.97
 2015 257   167   136  302.1  220.8   81.4   1.71   1.02  326.8   37.2   44.1    1.0   1.02   1.06    0.00    6.08
 2015 258   168   137  305.3  225.6   79.7   1.70   1.00  330.0   36.6   43.1    1.0   1.00   1.06    0.00    6.18
